id;categoria_id;subcategoria_id;fecha;resumen;descripcion;estado;localizacion;latitud;longitud;fecha_resolucion;fecha_cierre;email
1;1;1;2020-03-24T12:40:47;incentivize Programmable alarm;../fake-data/blob/hipster.txt;ASIGNADA;San Martín 112, Trelew, Chubut;-43.253117;-65.30935527;;;"N`0RN@rsJA.JFN_P9"
2;1;1;2020-03-24T22:44:51;turquoise Lead;../fake-data/blob/hipster.txt;EN_CURSO;28 de Julio 624, Trelew, Chubut;-43.256329;-65.315688;;;"7!(@^rB.&"
3;1;2;2020-03-24T15:07:40;Vista auxiliary Group;../fake-data/blob/hipster.txt;CERRADA;Daleoso 666, Trelew, Chubut;-43.2613404;-65.3458523;;;"e$@mWUON.%sROow"
4;1;2;2020-03-24T21:08:07;Senior XSS;../fake-data/blob/hipster.txt;CERRADA;Alejandro Maiz 546, Trelew, Chubut;-43.2786382;-65.2595957;2020-03-24T01:11:26;2020-03-24T20:39:02;"yC@PFTe^:.2_{Ma"
5;1;3;2020-03-23T22:46:46;optimize efficient deposit;../fake-data/blob/hipster.txt;CREADA;De la Meseta 462, Trelew, Chubut;-43.2825669;-65.273012;;;"Jkk1v@w:.=hxB"
6;1;3;2020-03-24T18:58:15;HDD Developer;../fake-data/blob/hipster.txt;ASIGNADA;Epuyén 111, Trelew, Chubut;-43.2671745;-65.3510826;;;"due@W.55iw{<"
7;2;4;2020-03-24T11:10:32;Chicken application sky blue;../fake-data/blob/hipster.txt;RESUELTA;Gualjaina Norte 435, Trelew, Chubut;-43.2666365;-65.3541603;2020-03-24T12:02:28;;"KF;:@TQg#9.vN"
8;2;4;2020-03-24T14:09:13;Quality Belize Practical Concrete Shoes;../fake-data/blob/hipster.txt;RESUELTA;Rifleros del Chubut 435, Trelew, Chubut;-43.2608422;-65.3614031;2020-03-24T13:16:05;;"1i@rj>L.="
9;2;5;2020-03-24T20:37:51;GB scalable;../fake-data/blob/hipster.txt;ASIGNADA;Ceferino Namuncura 1434, Trelew, Chubut;-43.2535794;-65.3305564;;;"k(@[1NPTp.vjK"
10;2;6;2020-03-24T06:36:41;HTTP;../fake-data/blob/hipster.txt;CERRADA;Costa Rica 765, Trelew, Chubut;-43.2494473;-65.3222393;2020-03-24T03:56:05;2020-03-24T02:23:14;"bDulk@z|.l-z)SC"
