id;nombre_completo;telefono;fecha_nacimiento;dni;domicilio;latitud;longitud;profesional;estudiante;trabajador
1;Liaison Frozen Reverse-engineered;backing up driver;2020-03-24;70485682;ADP utilisation;14054;43466;false;true;true
2;Direct;overriding streamline Rubber;2020-03-24;76033392;Generic Cotton Tuna PCI Health;78044;65920;false;true;false
3;methodologies encoding;interface action-items orange;2020-03-24;86273446;quantifying Integration;88125;82229;false;false;false
4;Awesome;Customer Locks Virgin Islands, British;2020-03-24;56805269;Avon Way evolve;69092;6052;false;false;false
5;Iowa;Consultant;2020-03-24;51065480;niches;13685;6789;false;true;false
6;moderator Developer Tanzania;Libyan Dinar Taka interface;2020-03-24;20772691;Creative GB Florida;34737;24111;true;true;false
7;pink;Lodge PNG Syrian Pound;2020-03-24;56809897;quantify Bedfordshire Missouri;96939;63273;true;false;false
8;Salad Minnesota;Unions digital primary;2020-03-24;52806056;networks;95655;44892;true;false;true
9;auxiliary Awesome Fresh Salad;Keyboard architect Pizza;2020-03-24;18787981;program Pennsylvania Executive;94236;87488;true;false;false
10;bypassing backing up Soap;online Hills input;2020-03-24;19197336;strategize redundant;59109;63487;false;false;false
